i,x,y,front_wheel_angle_rad,rear_wheel_angle_rad,longitudinal_velocity_mps,acceleration_mps2
81,-11.502794514452786,14.006534577626233,0.08031897991895676,-0.014753567986190319,2.320466995239258,-0.005612375680357218
82,-11.530771049209159,13.86883203663843,0.08919955790042877,-0.016570575535297394,2.3198792934417725,-0.00509242108091712
83,-11.556868212628594,13.730687900158301,0.09808012843132019,-0.018387585878372192,2.319291830062866,-0.004572466481477022
84,-11.581065225569917,13.592159800114738,0.1069607064127922,-0.020204594358801842,2.31870436668396,-0.004052511882036924
85,-11.603341308891956,13.453305368436625,0.11584128439426422,-0.02202160283923149,2.3181166648864746,-0.0035325572825968266
86,-11.623675683453538,13.31418223705286,0.12472186237573624,-0.02383861131966114,2.3175292015075684,-0.0030126026831567287
87,-11.642047570113487,13.174848037892328,0.13360244035720825,-0.02565561980009079,2.316941738128662,-0.002492648083716631
88,-11.658436189730631,13.035360402883923,0.14248301088809967,-0.02747262828052044,2.3163540363311768,-0.001972693484276533
89,-11.672820763163797,12.89577696395653,0.15136359632015228,-0.02928963676095009,2.3157665729522705,-0.0014527388848364353
90,-11.68518051127181,12.756155353039045,0.1602441668510437,-0.031106645241379738,2.3151791095733643,-0.0009327842853963375
91,-11.695494654913496,12.616553202060354,0.16912473738193512,-0.03292365372180939,2.314591407775879,-0.00041282971506007016
92,-11.703742414947683,12.47702814294935,0.17800532281398773,-0.03474066033959389,2.3140039443969727,0.00010712486255215481
93,-11.709903012233198,12.337637807634922,0.18688589334487915,-0.036557670682668686,2.3134164810180664,0.000627079454716295
94,-11.713955667628866,12.19843982804596,0.19576647877693176,-0.038374681025743484,2.312828779220581,0.001147033995948732
95,-11.715879601993514,12.059491836111354,0.20464704930782318,-0.040191687643527985,2.312241315841675,0.0016669885953888297
96,-11.715654036185969,11.920851463759996,0.2135276198387146,-0.04200869798660278,2.3116538524627686,0.0021869433112442493
97,-11.713258191065057,11.782576342920773,0.2224082052707672,-0.04382570460438728,2.311066150665283,0.0027068976778537035
98,-11.708671287489604,11.64472410552258,0.23128877580165863,-0.04564271494746208,2.310478687286377,0.0032268522772938013
99,-11.701872546318437,11.507352383494302,0.24016936123371124,-0.04745972156524658,2.3098912239074707,0.003746806876733899
100,-11.692841188410382,11.370518808764833,0.24904993176460266,-0.04927673190832138,2.3093035221099854,0.004266761709004641
101,-11.681556434624266,11.234281013263061,0.2579305171966553,-0.05109373852610588,2.308716058731079,0.004786716308444738
102,-11.667677059834107,11.098753808983965,0.2619457542896271,-0.0518086738884449,2.3085808753967285,0.010257593356072903
103,-11.649368654330088,10.964302169172658,0.2612612247467041,-0.05145902559161186,2.308882713317871,0.020510969683527946
104,-11.626422772220286,10.830976019976168,0.26057666540145874,-0.051109377294778824,2.3091845512390137,0.030764345079660416
105,-11.598934650298181,10.69876937172977,0.2598921060562134,-0.050759728997945786,2.3094863891601562,0.041017722338438034
106,-11.566999525357263,10.567676234768744,0.259207546710968,-0.05041008070111275,2.309788227081299,0.051271095871925354
107,-11.530712634191012,10.43769061942837,0.25852298736572266,-0.05006043240427971,2.3100900650024414,0.06152447313070297
108,-11.490169213592916,10.308806536043928,0.2578384280204773,-0.04971078410744667,2.310391902923584,0.07177785038948059
109,-11.445464500356456,10.181017994950697,0.2571538984775543,-0.04936113581061363,2.3106937408447266,0.08203122764825821
110,-11.39669373127512,10.054319006483956,0.25646933913230896,-0.049011487513780594,2.310995578765869,0.09228460490703583
111,-11.343952143142388,9.928703580978985,0.2557847797870636,-0.048661842942237854,2.3112974166870117,0.10253797471523285
112,-11.287334972751749,9.80416572877106,0.25510022044181824,-0.048312194645404816,2.3115992546081543,0.11279135197401047
113,-11.226937456896684,9.680699460195466,0.2544156610965729,-0.04796254634857178,2.311901092529297,0.12304472923278809
114,-11.162854832370678,9.558298785587478,0.2537311315536499,-0.04761289805173874,2.3122029304504395,0.1332980990409851
115,-11.09518233596722,9.436957715282379,0.25304657220840454,-0.0472632497549057,2.312504768371582,0.14355148375034332
116,-11.024015204479788,9.316670259615444,0.2523620128631592,-0.04691360145807266,2.3128066062927246,0.15380485355854034
117,-10.949448674701868,9.197430428921956,0.2516774535179138,-0.046563953161239624,2.313108444213867,0.16405823826789856
118,-10.871577983426947,9.079232233537194,0.25099289417266846,-0.046214304864406586,2.3134102821350098,0.17431160807609558
119,-10.790498367448508,8.962069683796436,0.2503083348274231,-0.04586465656757355,2.3137121200561523,0.1845649927854538
120,-10.706305063560036,8.845936790034962,0.24962379038333893,-0.04551500827074051,2.314013957977295,0.19481836259365082
121,-10.619093308555016,8.73082756258805,0.24893924593925476,-0.04516535997390747,2.3143157958984375,0.20507173240184784
122,-10.528958339226929,8.616736011790984,0.2482546865940094,-0.04481571167707443,2.31461763381958,0.21532511711120605
123,-10.435995392369263,8.503656147979036,0.24757012724876404,-0.044466063380241394,2.3149194717407227,0.22557848691940308
124,-10.340299704775498,8.391581981487493,0.24688558280467987,-0.044116415083408356,2.3152213096618652,0.2358318716287613
125,-10.241966513239126,8.280507522651629,0.2462010234594345,-0.04376676678657532,2.315523147583008,0.2460852414369583
126,-10.141091054553625,8.170426781806725,0.24551646411418915,-0.04341711848974228,2.3158249855041504,0.25633862614631653
127,-10.037768565512481,8.061333769288062,0.24483191967010498,-0.04306747019290924,2.316126823425293,0.26659199595451355
128,-9.93209428290918,7.953222495430917,0.24414736032485962,-0.0427178256213665,2.3164286613464355,0.27684536576271057
129,-9.824163443537204,7.846086970570571,0.24346280097961426,-0.04236817732453346,2.316730499267578,0.2870987355709076
130,-9.71413475139646,7.740005601184022,0.24179057776927948,-0.04177716001868248,2.3209729194641113,0.28997713327407837
131,-9.603454125335567,7.636787800644517,0.23716603219509125,-0.04046466201543808,2.336993932723999,0.2708105444908142
132,-9.492649272948487,7.537069835698943,0.23254148662090302,-0.03915216401219368,2.3530149459838867,0.25164395570755005
133,-9.381666925462564,7.440722349205231,0.22791695594787598,-0.03783966600894928,2.3690359592437744,0.2324773669242859
134,-9.270453814105142,7.347615984021314,0.22329241037368774,-0.03652716428041458,2.385056972503662,0.21331077814102173
135,-9.158956670103565,7.257621383005123,0.2186678647994995,-0.03521466627717018,2.40107798576355,0.19414418935775757
136,-9.047122224685179,7.17060918901459,0.21404331922531128,-0.03390216827392578,2.4170989990234375,0.1749776005744934
137,-8.934897209077326,7.0864500449076475,0.20941877365112305,-0.03258967027068138,2.433120012283325,0.15581102669239044
138,-8.822228354507349,7.005014593542225,0.20479422807693481,-0.03127717226743698,2.449141025543213,0.13664443790912628
139,-8.709062392202597,6.926173477776257,0.20016969740390778,-0.029964672401547432,2.4651620388031006,0.11747784912586212
140,-8.59534605339041,6.849797340467674,0.19554515182971954,-0.028652174398303032,2.4811830520629883,0.09831126779317856
141,-8.481026069298132,6.775756824474408,0.1909206062555313,-0.027339674532413483,2.497204065322876,0.0791446790099144
